Year,GHDCore
1901,-9.6171
1902,3.0257
1903,4.0114
1904,-10.403
1905,-8.26
1906,-8.0171
1907,2.5829
1908,-7.6171
1909,-1.56
1910,1.0254
1911,-13.968
1912,-2.2559
1913,-4.2498
1914,-0.54231
1915,-10.052
1916,3.4483
1917,-12.018
1918,-3.8053
1919,-5.6809
1920,-6.2934
1921,-11.762
1922,-7.9482
1923,0.33751
1924,-6.7482
1925,-2.4196
1926,-0.8934
1927,-8.2196
1928,-4.5196
1929,-6.1625
1930,-2.7625
1931,-3.8731
1932,6.7816
1933,-5.6212
1934,-14.664
1935,-3.8927
1936,-1.5212
1937,-11.536
1938,-1.2641
1939,2.7216
1940,-3.5059
1941,1.6066
1942,-7.6434
1943,-12.431
1944,-5.6434
1945,-17.876
1946,-4.1434
1947,-13.489
1948,-3.4184
1949,-7.2517
1950,-9.9457
1951,4.3441
1952,-11.518
1953,-5.3309
1954,5.0066
1955,-1.1934
1956,9.0066
1957,-1.4309
1958,0.4691
1959,-10.343
1960,-8.2809
1961,-8.5809
1962,5.2191
1963,4.3066
1964,-6.6309
1965,5.1941
1966,-4.8309
1967,-2.6684
1968,0.9441
1969,-0.5559
1970,-2.1059
1971,-5.8309
1972,7.2316
1973,-3.3309
1974,-0.9684
1975,-2.5684
1976,-16.668
1977,4.4954
1978,6.424
1979,-1.2934
1980,8.2191
